name,speaker_occupation,views
Kate Stone,Shepherd of electrons,686914
Kirk Citron,Media expert ,684929
Steven Johnson,Writer,684519
Hilary Cottam,Innovator and social entrepreneur,684300
Ron McCallum,Labor lawyer and activist,682353
Damon Horowitz,"Philosopher, entrepreneur",681873
Catherine Mohr,Roboticist,680984
Nellie McKay,Singer/songwriter,680591
Tim Berners-Lee,Inventor,680486
Dean Kamen,Inventor,680134
Cary Fowler,Biodiversity archivist,679728
Nellie McKay,Singer/songwriter,679711
Willie Smits,Conservationist,677150
Taylor Mali,Slam poet,676741
David Binder,Theater producer,674288
Raghava KK,Artist,674090
Robert Neuwirth,Author,673036
Carmen Agra Deedy,Storyteller,672797
Maira Kalman,"Illustrator, author",672254
Arthur Ganson,Sculptor,672113
Alison Jackson,Artist,670863
Robin Ince,Comedian,670245
Jared Ficklin,Visualizer,669088
Aziza Chaouni,Architect + ecotourism specialist,668555
Ellen Dunham-Jones,Architect,668454
Geoff Mulgan,Social commentator,667985
Jody Williams,Nobel peace laureate,667218
Eddy Cartaya,Cave Explorer,666996
Magnus Larsson,Dune architect,666784
Robert Full,Biologist,665959
Spencer Wells,Genographer,665947
Erin Marie Saltman,Policy researcher,665328
Ellen  Gustafson,Social entrepreneur,664485
Liz Diller,Designer,661645
Aris Venetikidis,Mapmaker,661530
Thom Mayne,Architect,660909
Bobby Ghosh,Editor,660569
Jeff Bezos,Online commerce pioneer,659664
Chris Anderson (TED),TED Curator,659450
Iyad Rahwan,Computational social scientist,659384
Rory Stewart,Politician,659276
Romina Libster,Medical researcher,658478
Irwin Redlener,"Physician, disaster-preparedness activist",657688
Carlo Ratti,Architect and engineer,657251
Jackson Browne,Musician and activist,656851
Helen Czerski,Physicist,656791
David Cameron,Politician,656762
Louise Leakey,Paleoanthropologist,656400
Tara Winkler," Child protection leader, activist, author ",656113
JP Rangaswami,Technologist,655406
Gary Flake,Technologist,654080
Stefon Harris,Jazz vibraphonist,653303
Herbie Hancock,Jazz legend,652315
Christina Warinner,Archaeological geneticist,651717
Penelope Boston,Cave scientist,651151
Shirin Neshat,Iranian visual artist,650274
Caroline Phillips,Musician,649740
Anil Gupta,Innovation advocate,649531
Iain McGilchrist,Psychiatrist and writer,648251
George Ayittey,Economist,648234
Lauren Zalaznick,Media executive,647752
Stewart Brand,"Environmentalist, futurist",646378
Benjamin Grant,Author,646174
Laura Boushnak,Photographer,645572
Richard Preston,Writer,644637
Rives,"Performance poet, multimedia artist",643078
David Whyte,"Poet, author",643011
Roz Savage,Ocean rower,642744
Steven Strogatz,Mathematician,642201
Sheikha Al Mayassa,"Founder, Doha Film Institute",642142
Ivan Oransky,Health reporter,641193
Philippe Petit,High-wire artist,640744
 Silk Road Ensemble,Musical explorers,640734
Willard Wigan,Micro-sculptor,640722
Ivan Krastev,Public intellectual,640604
Loretta Napoleoni,Macroeconomist,639995
Sebastian Deterding,Designer,638247
Laolu Senbanjo,"Artist, musician, lawyer, activist",636463
Pavan Sukhdev,Environmental economist,633715
Juliana Rotich,Tech entrepreneur,630822
JoAnn Kuchera-Morin,Composer,630784
Saul Griffith,Inventor,630431
Marian Bantjes,"Designer, illustrator, typographer",629753
Marc Koska,Inventor,629018
Jorge Drexler,"Musician, poet",626886
Thomas P. Campbell,Museum director,625454
Kary Mullis,Biochemist,624544
R.A. Mashelkar,"Scientist, innovator",622593
Joel Levine,Planetary and atmospheric scientist,622046
Reuben Margolin,Kinetic sculptor,621547
Alexander Wagner,Economist,621431
"David Byrne, Ethel + Thomas Dolby",Electronic music pioneer,621361
Frank Gehry,Architect,620806
Susan Lim,Surgeon,620231
Iain Hutchison,Facial surgeon,620073
George Whitesides,Chemist,619489
Sebastian Wernicke,Data scientist,618729
Mohamed Hijri,Biologist,618471
Tom Honey,Priest,616385
Augie Picado,Border specialist,613915
T. Boone Pickens,Entrepreneur and energy theorist,613676
Bill Gross,Idea guy,612934
Amit Sood,Technologist,612377
Jeremy Jackson,Marine ecologist,612260
Diana Nyad,"Journalist, swimmer",611461
Bill Strickland,Social innovator,611092
Gero Miesenboeck,Optogeneticist,611081
Philip K. Howard,Legal activist,610454
Tom Rielly,Satirist,609087
Jonathan Haidt,Social psychologist,606994
Golan Levin,Experimental audio-visual artist,606311
John La Grou,Inventor,606042
Richard Sears,Geophysicist,603657
Steve Keil,Entrepreneur,602203
Rodney Brooks,Roboticist,602024
Suheir Hammad,"Poet, playwright",599444
Lian Pin Koh,Drones ecologist,599368
Christoph Adami,Artificial life researcher,598693
Jaime Lerner,City evangelist,596961
Rob Harmon,Natural resources expert,596776
Edi Rama,Politician,595537
Carl Safina,"Ecologist, writer",594725
David Pogue,Technology columnist,594523
Eames Demetrios,Artist,594111
Garik Israelian,Astrophysicist,593547
Sarah Kaminsky,Actor and writer,593099
Lee Hotz,Journalist,592082
Jill Sobule,Singer/songwriter,591379
Daan Roosegaarde,Artist,591131
Dennis vanEngelsdorp,Bee expert,590570
Liz Coleman,College president,589931
Halla Tómasdóttir,Change catalyst,588691
Ananda Shankar Jayant,Dancer and choreographer,587639
Bandi Mbubi,Social Justice Activist,587181
Dalia Mogahed,Muslim studies scholar,587088
Auret van Heerden,Labor-rights activist,586814
Vinay Venkatraman,Designer,585351
Paola Antonelli,Design curator,585052
Liz Diller,Designer,583322
Miru Kim,Photographer and explorer,582812
Mark Forsyth,Writer,582161
Danny Hillis,Computer theorist,581419
Sasa Vucinic,Nonprofit venture capitalist,580891
Kwabena Boahen,Bioengineer,580298
Edith Widder,Marine biologist,579754
Stew,Singer/songwriter,577502
Thomas Dolby,Electronic music pioneer,577356
Shilo Shiv Suleman,Artist,576918
Ian Ritchie,Software entrepreneur,576592
Gary Lauder's new traffic sign,Venture capitalist,575346
Robert Sapolsky,"Neuroscientist, primatologist, writer",572845
Paul Romer,"Chief Economist and Senior Vice President, World Bank",572392
Ami Klin,Autism researcher,572281
Steve Truglia,Stuntman,571893
Charles Limb,Researcher,571200
Trevor Copp and Jeff Fox,Artistic director,571009
Natalie Warne,Activist,569814
Tom Wujec,Designer,569026
Nicholas Christakis,"Physician, social scientist",568761
Harsha Bhogle,Cricket commentator,567000
Caitlin Quattromani and Lauran Arledge,Marketing leader,566101
Larry Burns,Automotive researcher,565020
Randy Pausch,Professor,564781
Rogier van der Heide,Lighting designer,562653
Eleni Gabre-Madhin,Economist,562457
Chris Abani,"Novelist, poet",561703
Craig Venter,"Biologist, genetics pioneer",560904
Allison Hunt,Marketing expert,558993
Charles Elachi,Planetary scientist,558734
Péter Fankhauser,Roboticist,558524
Yves Behar,Designer,556657
Sivamani,Percussionist,556163
Jane Goodall,Primatologist; environmentalist,556147
Barton Seaver,Chef,556032
Jonathan Drori,Educator,555846
Rose Goslinga,Microinsurer,554809
Philip Rosedale,Entrepreneur,554794
Niels Diffrient,Designer,554650
Michael Archer,Paleontologist,554360
Charles Anderson,Marine biologist,553253
Ronald Sullivan,Clinical professor of law,552732
Jessica Green,Engineer and biodiversity scientist,551041
Monika Bulaj,Photographer,550740
Bill Doyle,Engineer,550715
Gayle Tzemach Lemmon,Reporter,548121
Rob Dunbar,"Oceanographer, biogeochemist",547649
Moshe Safdie,Architect,545664
Jeremy Rifkin,"Writer, thinker",544047
David Bismark,Voting system designer,543551
Sethembile Msezane,Artist,542088
Ryan Lobo,Photographer,541603
Seth Berkley,Vaccine visionary,541076
Kevin Kelly,Digital visionary,540897
Shimon Schocken,"Computer Scientist, Educator",539950
John Wilbanks,Data Commons Advocate,539219
Chance Coughenour,Digital archaeologist,539207
Omar Ahmad,"Technologist, city councilman",538014
Anil Ananthaswamy,Science writer,537035
Jun Wang,Genomics researcher,534824
Dave deBronkart,e-Patient,534289
Lakshmi Pratury,Connector,533761
Kary Mullis,Biochemist,532759
Bart Weetjens,Product developer,532619
Karen Tse,Anti-torture activist,532416
Vusi Mahlasela,"Musician, activist",531957
Jamie Heywood,Healthcare revolutionary,528451
Pierre Thiam,Chef,527314
Ingrid Betancourt,"Writer, peace advocate",526794
Emiliano Salinas,Community activist,525446
Zahra' Langhi,Activist,525297
Thelma Golden,Curator,524790
Ngozi Okonjo-Iweala,Economist,524049
Dean Kamen,Inventor,523422
Wanuri Kahiu,"Filmmaker, writer",522917
Olafur Eliasson,Sculptor of light and space,522578
Doris Kearns Goodwin,Historian,522550
Richard Feynman,Physicist,521974
Charity Tillemann-Dick,Soprano,521502
Mena Trott,"Blogger; cofounder, Six Apart",518624
Sophie Hunger,Singer,518461
Scott Kim,Puzzlemaster,517779
Beth Noveck,Open-government expert,516355
Eddi Reader,Singer/songwriter,513672
Marvin Minsky,AI pioneer,513090
Gordon Brown,British Prime Minister,512817
David Holt,Folk musician,512588
Jamie Drummond,Anti-poverty activist,509747
Bruce Aylward,Epidemiologist,509375
Deborah Scranton,Filmmaker,507997
Jay Bradner,Research scientist,507746
Zainab Salbi,Activist and social entrepreneur,505716
Paula Scher,Designer at play,505714
Peter Diamandis,Space activist,504508
Iqbal Quadir,"Founder, GrameenPhone",503517
Charles Hazlewood,Conductor,502832
Paul Rothemund,DNA origamist,501256
Sophal Ear,Development economist,501090
Nadia Al-Sakkaf,Journalist,498409
Peter Diamandis,Space activist,497899
Ben Cameron,Arts administrator,497710
Thomas Goetz,Healthcare communicator,497626
Steven Schwaitzberg,Surgeon and technologist,497489
Gregory Stock,"Author, thinker",497449
Shaffi Mather,"Social entrepreneur, lawyer",497172
Tod Machover + Dan Ellsey,"Composer, inventor",497153
George Whitesides,Chemist,496827
Sendhil Mullainathan,Behavioral economist,495585
Pete Alcorn,Media exec,493966
Shereen El-Feki,Arab sexuality expert,493782
Nina Tandon,Tissue engineering researcher,490275
Brenda Romero,Game designer,490092
Sanjay Pradhan,Development Leader,488481
Jill Sobule + Julia Sweeney,Singer/songwriter,487972
Luca Turin,Nose,487630
Bill Joy,Technologist and futurist,487378
Ben Kacyra,Digital preservationist,487006
Kevin Stone,"Surgeon, inventor",486269
Stephen Coleman,Ethicist,485769
Jake Wood,"CEO, Team Rubicon",485501
John Bohannon,Science writer,485285
Elizabeth Murchison,Cancer researcher,484266
Annie Lennox,"Activist, singer-songwriter",484254
Shereen El Feki,Arab sexuality expert,483137
Jay Walker,Entrepreneur,482996
Mallika Sarabhai,"Dancer, actor, activist",481834
Jakob Trollback,Designer,480377
Edward Burtynsky,Photographer,480142
Jim Toomey,Cartoonist,479113
Boghuma Kabisen Titanji,Clinical researcher,478878
Simon Berrow,Marine biologist,478456
Kavita Ramdas,Philanthropist,473956
Douglas Adams,"Author, satirist",473220
Neil Turok,"Physicist, education activist",473165
Emma Teeling,Zoologist,472121
Guy-Philippe Goldstein,Author,471545
Rachel Pike,Atmospheric chemist,470615
Bruce Feiler,Writer,465856
Antony Gormley,Sculptor,464213
Anders Ynnerman,Scientific visualization expert,463366
Daniel Kraft,Physician scientist,462619
David MacKay,Professor,462242
Van Jones,Social justice and green energy activist,462012
Paul Romer,"Chief Economist and Senior Vice President, World Bank",461382
Nick Sears,Inventor,457492
Samantha Power,Political scientist and journalist,456095
Greg Stone,Oceanographer,454323
Lisa Margonelli,Writer,452632
Kim Gorgens,Neuropsychologist,452578
Tyrone Hayes + Penelope Jagessar Chaffer,Biologist,450706
Duarte Geraldino,Journalist,450430
Jesse Schell,Game designer,449161
Karina Galperin,Literary scholar,448733
Brewster Kahle,Digital librarian,445781
Gonzalo Vilariño,"Lawyer, coach",443773
Rachelle Garniez,Musician,443180
Paul Ewald,Evolutionary biologist,442623
Saul Griffith,Inventor,442553
Cynthia Schneider,Cultural diplomacy expert,441609
Elizabeth Lindsey,"Explorer, ethnographer",439180
Eva Zeisel,Designer,438972
Gabe Zichermann,"Entrepreneur, author",438379
Ravin Agrawal,Investor ,437800
Katherine Fulton,New philanthropist,437529
Nathan Myhrvold,Polymath,437132
Jacqueline Novogratz,Investor and advocate for moral leadership,436147
Robin Chase,Transport networker,434005
"Tom Shannon, John Hockenberry",Sculptor,433879
Feisal Abdul Rauf, Chairman of the Cordoba Initiative,433202
Jason Clay,Market transformer,431548
Mathieu Lehanneur,Designer,431307
Evgeny Morozov,Internet scientist,430276
Andy Hobsbawm,Internet entrepreneur,429967
James Surowiecki,Finance journalist,429084
Peter Tyack,Behavioral ecologist,428470
Eddi Reader,Singer/songwriter,428351
Carina Morillo,Autism advocate,428279
Nate Silver,Statistician,427878
Alwar Balasubramaniam,Artist,427590
Nalini Nadkarni,Tree researcher,426610
Laurie Garrett,Science journalist,425429
Bjarke Ingels,Architect,422460
James Nachtwey,Photojournalist,421212
Danny Hillis,Computer theorist,420269
Jon Bergmann,Educator,419672
Theo E.J. Wilson,Public intellectual,419309
Jeffrey Kluger,"Senior Editor, TIME Magazine",418651
Olúfẹ́mi Táíwò,"Historian, philosopher",418368
Larry Brilliant,"Epidemiologist, philanthropist",418234
Caleb Chung,Toy designer,417769
Paul Moller,Inventor,417728
Armando Azua-Bustos,Astrobiologist,417470
Vusi Mahlasela,"Musician, activist",416603
Kartick Satyanarayan,Wildlife conservationist ,415566
Asher Hasan,Social entrepreneur,415223
Vishal Vaid,Musician,414396
Natalie Jeremijenko,Artist and engineer,414028
Steve Jurvetson,Venture capitalist,412154
Zach Kaplan + Keith Schacht,Inventor,411647
Cameron Sinclair,"Co-founder, Architecture for Humanity",411183
Paul Rothemund,DNA origamist,410563
Timothy Bartik,Economist,407419
Paul Collier,Economist,406530
David Rockwell,"Architect, experience designer",404402
Jonathan Drori,Educator,403708
Erik Hersman,Technologist,403555
Raul Midon,Guitarist,403089
Sebastián Bortnik,Information security specialist ,402343
Joe DeRisi,Biochemist,401015
Claron McFadden,Soprano,400082
Jarreth Merz,Filmmaker,399332
Ariel Garten,"Artist, scientist and entrepreneur",399314
Eric Whitacre,"Composer, conductor",399280
Nalini Nadkarni,Tree researcher,398835
Caroline Lavelle,Cellist; singer-songwriter,398713
Nicholas Negroponte,Tech visionary,398643
Romulus Whitaker,Herpetologist,397719
Bruce McCall,Humorist,396905
Nora York,"Singer, performance artist",395769
Sheila Nirenberg,Neuroscientist,393726
Dyan deNapoli,Penguin expert,393695
Michael Sandel,Political philosopher,393459
Karoliina Korppoo,Game designer,391721
Eric Lewis,Pianist,391427
Kirk Sorensen,"Engineer, nuclear technologist",390395
Lawrence Lessig,Legal activist,389961
Natasha Tsakos,Artist,389813
Barry Schuler,Entrepreneur,389420
Ellen 't Hoen,Medicine law expert,389194
Jehane Noujaim,Filmmaker,387877
Noah Feldman,Constitutional law scholar,385647
Ethel,String quartet,384641
Eric Dishman,Social scientist,384626
Jorge Ramos,"Journalist, news anchor",383080
Robert Fischell,Biomedical inventor,382996
Milton Glaser,Graphic designer,382985
Brenda Laurel,Designer and theorist,382517
Virginia Postrel,Journalist,379382
Bruno Bowden + Rufus Cappadocia,Engineer and origamist,375734
Radhika Nagpal, Robotics engineer,375647
Graham Hawkes,Inventor,375491
Ernest Madu,Cardiologist,371754
Ramona Pierson,Education innovator,369363
Corneille Ewango,Botanist and activist,368974
Shimon Steinberg,Entomologist,368770
Rob Forbes,Designer,368513
Nicholas Negroponte,Tech visionary,363202
Stephen Palumbi,Marine biologist,362741
They Might Be Giants,Band,362609
Lalitesh Katragadda,Engineer,359942
Ken Goldberg,Roboticist,359381
Dee Boersma,Conservation biologist,358820
Nicholas Negroponte,Tech visionary,358304
Improv Everywhere,Pranksters,357454
Sonaar Luthra,,353749
Hannah Fry,Complexity theorist,353350
Kristen Ashburn,Photographer,352285
Richard Pyle,Ichthyologist,352252
Kevin Surace,"Engineer, executive",352169
Kristina Gjerde,High seas policy advisor,349168
Scott Rickard,Mathematician,348992
Hawa Abdi + Deqo Mohamed,Somali doctors who treat women refugees,348647
Paul Conneally,Aid worker,347644
Greg Lynn,Designer,346702
Steven Johnson,Writer,344618
Carne Ross,Diplomat,343532
Inge Missmahl,Analytical psychologist,343349
Nathaniel Kahn,Filmmaker,338831
Jonas Gahr Støre,Foreign Minister of Norway,338346
John Lloyd,Producer,336430
Euvin Naidoo,Investment banker,335086
Barbara Block,Marine biologist,334820
John Delaney,Oceanographer,332099
Newton Aduaka,Filmmaker,330238
John Q. Walker,Musician and inventor,329964
Raul Midon,Guitarist,327542
John Kasaona,Conservationist,327406
Sherwin Nuland,Doctor,326663
Torsten Reil,Animating neurobiologist,325148
Chris Anderson,TED Curator,324266
Ory Okolloh,Blogger and activist,321896
Juliana Machado Ferreira,Biologist,320717
Richard Dawkins,Evolutionary biologist,318423
Erica Frenkel,Medical technologist,318110
Peter Haas,Building activist,317127
Kate Orff,Landscape architect,316975
Enric Sala,Marine ecologist,316507
Hector Ruiz,CEO,315244
Paola Antonelli,Design curator,313572
David Hoffman,Filmmaker,311741
Ray Zahab,Endurance runner,310446
Morley,Singer-songwriter,310126
Stephen Lawler,General manager of Microsoft's Virtual Earth,308879
Christopher C. Deam,Designer,308276
Geoff Mulgan,Social commentator,308233
Stefan Wolff,Ethnic conflicts scholar,307628
Kelli Anderson,"Artist, designer",306296
Robert Thurman,Buddhist scholar,304800
Greg Gage,Neuroscientist,303986
Megan Kamerick,Reporter,298776
Thulasiraj Ravilla,Vision activist,297107
Felix Dennis,"Publisher, philanthropist, poet",296294
Frederick Balagadde,Inventor,295059
Marisa Fick-Jordan,"Craft artist, product designer",294961
Rokia Traore,Singer-songwriter,294936
Ben Katchor,Cartoonist,294396
Sasha Dichter,Nonprofit VC,293626
Paul Snelgrove,Marine biologist,293342
Diane J. Savino,Senator,292395
Sandra Fisher-Martins,"Translator, plain language activist",291251
Lucien Engelen,Healthcare innovator,288585
Roger McNamee,Tech investor,287416
Reed Kroloff,Architecture critic,282994
Joel Burns,City councilman,278672
David Gallo,Oceanographer,277544
Tyler Cowen,Economist,277326
Mick Mountz,"CEO, Kiva Systems",276779
Srdja Popovic,Organizer,276132
Katherine Kuchenbecker,Mechanical engineer,274986
Dayananda Saraswati,Vedantic teacher,273396
Michael McDaniel,Graphic designer,271344
Klaus Stadlmann,Engineer,268280
Bart Knols,Malariologist,264684
Lee Smolin,Physicist,258922
Malcolm McLaren,Provocateur,251313
Peter Hirshberg,"Entrepreneur, marketer",250722
Tomás Saraceno,Artist,248411
C.K. Williams,Poet,246094
Stewart Brand,"Environmentalist, futurist",242975
Thomas Pogge,Philosopher,242251
John Maeda,Artist,241858
Robert Wright,"Journalist, philosopher",236002
Mitchell Besser,HIV/AIDS fighter,235221
Seyi Oyesola,Doctor,230569
Daniel Pauly,Fisheries biologist,224768
Franco Sacchi,Filmmaker,223082
David Damberger,"Engineer, Social Entrepreneur",221777
Jer Thorp,Data artist,220716
Susan Shaw,Marine toxicologist,220099
Inara George,Singer and songwriter,217851
Sxip Shirey + Rachelle Garniez,Musician,217663
Jamais Cascio,World-builder,212202
Daniel Schnitzer,"Founder and Executive Director, Earthspark International",208115
James Forbes,Preacher,204410
Joseph Lekuton,Kenyan MP,200726
Paul MacCready,Engineer,197139
Tierney Thys +  Plankton Chronicles Project,Marine biologist,197120
Michael Stevens,YouTube educator,195899
Roger Doiron,Gardening activist,191555
Carvens Lissaint,Performance artist,186308
Keith Bellows,Traveler,185275
Jon Boogz and Lil Buck,Movement artist,182975
Rick Falkvinge,,181010
Patsy Rodenburg,Acting and voice coach,176995
Jackie Tabick,Spiritual leader,176245
Lucianne Walkowicz,Stellar astronomer,175395
David Birch,Digital money and identity consultant,174326
Rick Guidotti,Photographer,166959
Melissa Garren,Marine biologist,166835
Michelle Borkin,physicist,161462
Bilal Bomani,NASA scientist,155895
Cat Laine,Social entrepreneur,154698
Matt Weinstein,Motivational speaker,149818
Paul Lewis,Journalist,148971
Giles Duley,Photojournalist,144044
Mark Raymond,Architect,142164
Michael Nielsen,Physicist,138812
Scott Summit,Industrial Designer,132199
Nate Garvis,Civic thought leader,125050
Leslie Dodson,Reporter,121186
Keith Nolan,Teacher,120274
José Bowen,Professor of music,117756
Aleph Molinari,"Economist, techno-activist",115346
Tim Birkhead,Ornithologist,112321
Rokia Traore,Singer-songwriter,82488
Charles Hazlewood + British Paraorchestra,Contemporary music ensemble,66668
Edwidge Danticat,Author,50443
